date,type,n,n_wirtschaft,n_wirtschaft_unsicher
2001-01-01,docs,18066,4055,219
2001-01-01,words,3104863,922109,60569
2001-02-01,docs,18069,3830,194
2001-02-01,words,3096857,865681,52886
2001-03-01,docs,19977,4350,231
2001-03-01,words,3495537,984306,63690
2001-04-01,docs,16618,3626,193
2001-04-01,words,2879067,829551,54039
2001-05-01,docs,17476,3575,139
2001-05-01,words,3008084,813988,40893
2001-06-01,docs,16696,3432,145
2001-06-01,words,2903575,789966,41517
2001-07-01,docs,17300,3625,160
2001-07-01,words,2967557,801874,49277
2001-08-01,docs,17402,3460,188
2001-08-01,words,3008989,783430,55427
2001-09-01,docs,15334,3189,296
2001-09-01,words,2801169,735295,77973
2001-10-01,docs,16968,3740,383
2001-10-01,words,3020687,837199,101714
2001-11-01,docs,16345,3420,250
2001-11-01,words,2856257,756324,68697
2001-12-01,docs,14645,3081,204
2001-12-01,words,2622421,719150,60330
2002-01-01,docs,16437,3728,180
2002-01-01,words,2857738,831135,56684
2002-02-01,docs,16664,3448,159
2002-02-01,words,2879131,761016,39820
2002-03-01,docs,17411,3655,150
2002-03-01,words,3051097,819522,42528
2002-04-01,docs,16773,3634,197
2002-04-01,words,2936237,828118,54660
2002-05-01,docs,15665,3309,190
2002-05-01,words,2702777,731957,49096
2002-06-01,docs,16847,3401,207
2002-06-01,words,2890025,763282,56004
2002-07-01,docs,15681,3587,236
2002-07-01,words,2680370,812548,63359
2002-08-01,docs,14997,3465,230
2002-08-01,words,2617406,811324,66446
2002-09-01,docs,14622,3219,227
2002-09-01,words,2530673,743527,64428
2002-10-01,docs,15434,3568,233
2002-10-01,words,2680697,831579,60933
2002-11-01,docs,14847,3450,214
2002-11-01,words,2554944,777511,57899
2002-12-01,docs,13422,2988,186
2002-12-01,words,2349660,689493,54955
2003-01-01,docs,14627,3419,232
2003-01-01,words,2540209,771634,61511
2003-02-01,docs,14151,3062,273
2003-02-01,words,2449598,689549,71202
2003-03-01,docs,16416,3301,334
2003-03-01,words,2696955,714596,87133
2003-04-01,docs,15670,3014,221
2003-04-01,words,2414329,641030,53308
2003-05-01,docs,16448,3420,201
2003-05-01,words,2526123,733674,51048
2003-06-01,docs,14574,3121,153
2003-06-01,words,2375988,694363,41587
2003-07-01,docs,17330,3433,142
2003-07-01,words,2648074,735284,37108
2003-08-01,docs,16077,3027,150
2003-08-01,words,2508658,660511,43638
2003-09-01,docs,21038,4244,198
2003-09-01,words,3412007,946146,58425
2003-10-01,docs,22014,4490,190
2003-10-01,words,3586151,1003169,52807
2003-11-01,docs,20525,4236,219
2003-11-01,words,3293868,931064,63596
2003-12-01,docs,17705,3328,134
2003-12-01,words,2828523,758399,41922
2004-01-01,docs,15906,3243,142
2004-01-01,words,2463503,692042,43122
2004-02-01,docs,11646,2263,118
2004-02-01,words,1755001,478949,36370
2004-03-01,docs,15845,3180,166
2004-03-01,words,2421219,674346,42026
2004-04-01,docs,15086,3140,154
2004-04-01,words,2319440,673803,41072
2004-05-01,docs,14708,3059,166
2004-05-01,words,2262229,657801,47913
2004-06-01,docs,17125,3272,134
2004-06-01,words,2654848,695835,35329
2004-07-01,docs,17475,3249,138
2004-07-01,words,2688747,708529,38852
2004-08-01,docs,16128,2871,157
2004-08-01,words,2529637,633015,43440
2004-09-01,docs,16566,3264,148
2004-09-01,words,2582187,702665,41733
2004-10-01,docs,17212,3446,173
2004-10-01,words,2692776,756575,45818
2004-11-01,docs,16671,3279,141
2004-11-01,words,2578620,713969,40423
2004-12-01,docs,16567,3080,132
2004-12-01,words,2544369,702325,47553
2005-01-01,docs,16139,3056,105
2005-01-01,words,2458435,674152,32823
2005-02-01,docs,15993,2971,125
2005-02-01,words,2457003,642259,36748
2005-03-01,docs,18866,3519,127
2005-03-01,words,2841256,753157,36824
2005-04-01,docs,17872,3275,121
2005-04-01,words,2732068,721430,34844
2005-05-01,docs,15785,2993,138
2005-05-01,words,2434019,660883,42178
2005-06-01,docs,17403,3408,171
2005-06-01,words,2642611,754068,46934
2005-07-01,docs,16790,2931,116
2005-07-01,words,2575397,656094,34313
2005-08-01,docs,17071,2968,116
2005-08-01,words,2606783,672356,35368
2005-09-01,docs,16629,3248,194
2005-09-01,words,2715784,745497,57396
2005-10-01,docs,15645,3124,135
2005-10-01,words,2663230,725897,45658
2005-11-01,docs,15886,3246,137
2005-11-01,words,2657319,739788,38138
2005-12-01,docs,15545,3034,94
2005-12-01,words,2604497,706221,29351
2006-01-01,docs,15067,3028,114
2006-01-01,words,2508288,683280,34767
2006-02-01,docs,15341,2685,72
2006-02-01,words,2545038,597090,22267
2006-03-01,docs,17067,3287,117
2006-03-01,words,2840550,742976,39216
2006-04-01,docs,14362,2748,104
2006-04-01,words,2422144,630995,31447
2006-05-01,docs,15768,2961,120
2006-05-01,words,2651009,687654,38081
2006-06-01,docs,16754,2779,95
2006-06-01,words,2761785,612937,29564
2006-07-01,docs,15915,2631,75
2006-07-01,words,2659477,616164,21987
2006-08-01,docs,15808,2818,113
2006-08-01,words,2671733,641015,31876
2006-09-01,docs,15890,3072,117
2006-09-01,words,2729793,706817,34338
2006-10-01,docs,15960,3134,126
2006-10-01,words,2745121,721886,39541
2006-11-01,docs,15622,3018,103
2006-11-01,words,2641048,698532,31752
2006-12-01,docs,14001,2554,98
2006-12-01,words,2399466,613629,33457
2007-01-01,docs,15383,2977,92
2007-01-01,words,2634815,702710,30553
2007-02-01,docs,14267,2729,82
2007-02-01,words,2468992,647304,28647
2007-03-01,docs,16224,3057,118
2007-03-01,words,2829549,737368,33758
2007-04-01,docs,13406,2536,110
2007-04-01,words,2368667,617291,33492
2007-05-01,docs,14009,2719,83
2007-05-01,words,2464177,653318,31254
2007-06-01,docs,14581,2846,88
2007-06-01,words,2589853,699546,28148
2007-07-01,docs,14337,2603,82
2007-07-01,words,2539720,645672,28782
2007-08-01,docs,14548,2786,163
2007-08-01,words,2567053,679546,49403
2007-09-01,docs,14269,2871,169
2007-09-01,words,2608166,702901,51931
2007-10-01,docs,15526,3148,131
2007-10-01,words,2836710,784853,40266
2007-11-01,docs,14921,2986,161
2007-11-01,words,2683860,726079,51314
2007-12-01,docs,12838,2552,134
2007-12-01,words,2339804,641329,44407
2008-01-01,docs,14288,3000,177
2008-01-01,words,2588773,738956,52869
2008-02-01,docs,14282,2855,175
2008-02-01,words,2615564,711509,52404
2008-03-01,docs,13814,2706,136
2008-03-01,words,2577257,677096,41341
2008-04-01,docs,14682,3056,145
2008-04-01,words,2661576,752006,41467
2008-05-01,docs,13587,2678,119
2008-05-01,words,2511997,671893,40866
2008-06-01,docs,14543,2815,115
2008-06-01,words,2638728,694728,38067
2008-07-01,docs,14516,2875,131
2008-07-01,words,2643965,711792,46073
2008-08-01,docs,14149,2756,134
2008-08-01,words,2632583,704842,41144
2008-09-01,docs,13921,2991,181
2008-09-01,words,2666871,780942,60866
2008-10-01,docs,14393,3765,331
2008-10-01,words,2753491,968685,102929
2008-11-01,docs,13362,3402,211
2008-11-01,words,2508932,853836,66261
2008-12-01,docs,13033,3260,204
2008-12-01,words,2378144,803495,67371
2009-01-01,docs,13505,3609,227
2009-01-01,words,2486981,882035,78504
2009-02-01,docs,12937,3569,212
2009-02-01,words,2387575,847616,65059
2009-03-01,docs,13798,3830,233
2009-03-01,words,2556723,926519,75253
2009-04-01,docs,12508,3367,202
2009-04-01,words,2325828,811400,58631
2009-05-01,docs,12261,3238,147
2009-05-01,words,2288152,785145,45477
2009-06-01,docs,12328,3132,146
2009-06-01,words,2271084,781200,43862
2009-07-01,docs,13326,3178,149
2009-07-01,words,2457001,781544,52067
2009-08-01,docs,12393,2921,150
2009-08-01,words,2289037,702425,42284
2009-09-01,docs,12989,3149,152
2009-09-01,words,2373739,779366,52095
2009-10-01,docs,16549,3626,169
2009-10-01,words,2871264,883505,53484
2009-11-01,docs,24119,4489,201
2009-11-01,words,3765019,1048015,66875
2009-12-01,docs,23303,4061,196
2009-12-01,words,3568381,954214,66848
2010-01-01,docs,15984,3432,171
2010-01-01,words,2683361,795622,50143
2010-02-01,docs,12616,2928,184
2010-02-01,words,2318262,719128,57246
2010-03-01,docs,13840,3294,179
2010-03-01,words,2534481,777163,53898
2010-04-01,docs,11846,2732,144
2010-04-01,words,2234892,686537,47959
2010-05-01,docs,11160,2609,170
2010-05-01,words,2087100,648193,53405
2010-06-01,docs,12675,2837,191
2010-06-01,words,2335978,705889,58021
2010-07-01,docs,11735,2493,168
2010-07-01,words,2185050,626372,52427
2010-08-01,docs,10108,2432,185
2010-08-01,words,1917641,604995,52531
2010-09-01,docs,10632,2596,157
2010-09-01,words,2016207,648375,51940
2010-10-01,docs,10748,2673,135
2010-10-01,words,2073631,678843,42408
2010-11-01,docs,10379,2551,172
2010-11-01,words,1967265,643972,56590
2010-12-01,docs,9903,2281,161
2010-12-01,words,1947115,596203,55476
2011-01-01,docs,9359,2493,130
2011-01-01,words,1855177,641956,44393
2011-02-01,docs,9538,2250,111
2011-02-01,words,1938270,603978,36297
2011-03-01,docs,10453,2500,212
2011-03-01,words,2109648,671964,67447
2011-04-01,docs,9288,2212,127
2011-04-01,words,1869920,606147,44080
2011-05-01,docs,9939,2336,128
2011-05-01,words,2014871,620546,48385
2011-06-01,docs,8871,2138,146
2011-06-01,words,1788591,572289,50084
2011-07-01,docs,9707,2299,158
2011-07-01,words,1954387,619550,53406
2011-08-01,docs,9759,2449,261
2011-08-01,words,1959927,650613,82398
2011-09-01,docs,9978,2588,221
2011-09-01,words,2031825,688153,69536
2011-10-01,docs,9735,2494,214
2011-10-01,words,1989269,666884,67636
2011-11-01,docs,9788,2574,233
2011-11-01,words,1971057,672553,73477
2011-12-01,docs,9608,2273,180
2011-12-01,words,1917338,604334,61710
2012-01-01,docs,9442,2361,185
2012-01-01,words,1912479,627866,55375
2012-02-01,docs,9422,2200,133
2012-02-01,words,1905211,588638,42991
2012-03-01,docs,10210,2377,122
2012-03-01,words,2067538,622953,39215
2012-04-01,docs,8776,2159,123
2012-04-01,words,1803525,581825,43686
2012-05-01,docs,9004,2183,154
2012-05-01,words,1839533,607751,57668
2012-06-01,docs,9786,2387,170
2012-06-01,words,2011920,655296,54419
2012-07-01,docs,9727,2311,209
2012-07-01,words,1941106,623494,67029
2012-08-01,docs,9749,2235,164
2012-08-01,words,1949275,592032,56093
2012-09-01,docs,8954,2271,145
2012-09-01,words,1844740,601456,50308
2012-10-01,docs,9556,2347,149
2012-10-01,words,1951728,633708,54164
2012-11-01,docs,9257,2354,160
2012-11-01,words,1855305,616010,48863
2012-12-01,docs,8439,1968,133
2012-12-01,words,1698341,536211,42708
2013-01-01,docs,9095,2242,142
2013-01-01,words,1838971,599471,47105
2013-02-01,docs,8493,2025,122
2013-02-01,words,1755509,559093,47554
2013-03-01,docs,8861,2121,145
2013-03-01,words,1860808,589524,49232
2013-04-01,docs,8615,2064,137
2013-04-01,words,1799257,577787,51650
2013-05-01,docs,8141,1970,87
2013-05-01,words,1711968,551386,32407
2013-06-01,docs,8529,2109,120
2013-06-01,words,1785213,576378,43096
2013-07-01,docs,9216,2222,138
2013-07-01,words,1907753,621286,49684
2013-08-01,docs,9020,1999,118
2013-08-01,words,1882436,560109,40190
2013-09-01,docs,8455,1964,122
2013-09-01,words,1780629,558131,44185
2013-10-01,docs,9008,2194,142
2013-10-01,words,1882856,601091,46872
2013-11-01,docs,8884,2042,77
2013-11-01,words,1832996,559991,29963
2013-12-01,docs,7742,1761,90
2013-12-01,words,1625645,494423,31283
2014-01-01,docs,8484,2143,81
2014-01-01,words,1770679,587304,32804
2014-02-01,docs,8415,1937,107
2014-02-01,words,1734958,534533,39893
2014-03-01,docs,8877,2129,135
2014-03-01,words,1903375,608905,50915
2014-04-01,docs,7971,1998,106
2014-04-01,words,1711660,567386,34308
2014-05-01,docs,8380,2006,87
2014-05-01,words,1817430,597602,36400
2014-06-01,docs,7970,1865,73
2014-06-01,words,1730945,544057,29884
2014-07-01,docs,8885,2016,102
2014-07-01,words,1884917,570194,37045
2014-08-01,docs,8055,1851,121
2014-08-01,words,1760793,546815,42544
2014-09-01,docs,8379,2064,123
2014-09-01,words,1809910,582566,47217
2014-10-01,docs,8807,2115,142
2014-10-01,words,1909476,606184,49216
2014-11-01,docs,8235,2047,114
2014-11-01,words,1790102,577358,43846
2014-12-01,docs,7920,1843,124
2014-12-01,words,1695456,527216,44350
2015-01-01,docs,8074,1971,135
2015-01-01,words,1794717,588084,55430
2015-02-01,docs,7831,1775,113
2015-02-01,words,1718849,537285,50173
2015-03-01,docs,8466,1948,99
2015-03-01,words,1848807,578950,40749
2015-04-01,docs,7966,1860,98
2015-04-01,words,1781222,547412,35907
2015-05-01,docs,7342,1714,92
2015-05-01,words,1651723,526710,39608
2015-06-01,docs,7920,1911,97
2015-06-01,words,1740893,576946,37603
2015-07-01,docs,8396,2018,102
2015-07-01,words,1820301,597615,39309
2015-08-01,docs,7763,1756,132
2015-08-01,words,1730955,545295,48148
2015-09-01,docs,7868,1847,127
2015-09-01,words,1772319,546503,46436
2015-10-01,docs,8304,1875,129
2015-10-01,words,1867071,565906,52384
2015-11-01,docs,7767,1807,107
2015-11-01,words,1755329,533562,43632
2015-12-01,docs,7358,1617,101
2015-12-01,words,1652572,492532,35942
2016-01-01,docs,7357,1778,158
2016-01-01,words,1690204,551048,64722
2016-02-01,docs,7524,1699,149
2016-02-01,words,1694792,502663,56891
2016-03-01,docs,7426,1680,122
2016-03-01,words,1705664,519269,49765
2016-04-01,docs,7875,1860,131
2016-04-01,words,1839929,594975,53761
2016-05-01,docs,6872,1661,115
2016-05-01,words,1576986,504937,45993
2016-06-01,docs,7888,1845,186
2016-06-01,words,1793884,570854,70973
2016-07-01,docs,7540,1693,225
2016-07-01,words,1740703,518280,79811
2016-08-01,docs,7738,1683,172
2016-08-01,words,1752437,511346,63671
2016-09-01,docs,7480,1804,149
2016-09-01,words,1732240,549101,58638
2016-10-01,docs,7375,1674,131
2016-10-01,words,1757691,530656,53600
2016-11-01,docs,7506,1918,199
2016-11-01,words,1750608,594671,74124
2016-12-01,docs,7377,1597,194
2016-12-01,words,1666671,501128,79845
2017-01-01,docs,7069,1727,213
2017-01-01,words,1675229,552614,87323
2017-02-01,docs,6828,1573,164
2017-02-01,words,1587964,494483,68816
2017-03-01,docs,7763,1772,158
2017-03-01,words,1807061,557865,61397
2017-04-01,docs,6518,1441,154
2017-04-01,words,1570624,487659,66310
2017-05-01,docs,7056,1605,128
2017-05-01,words,1693000,536945,53701
2017-06-01,docs,6803,1608,116
2017-06-01,words,1643887,516516,49140
2017-07-01,docs,7029,1543,118
2017-07-01,words,1692621,519595,49051
2017-08-01,docs,7005,1737,128
2017-08-01,words,1681940,553320,52317
2017-09-01,docs,7119,1625,100
2017-09-01,words,1748219,549089,46753
2017-10-01,docs,6671,1544,128
2017-10-01,words,1627717,514306,56662
2017-11-01,docs,6972,1647,139
2017-11-01,words,1729928,554254,57065
2017-12-01,docs,6600,1412,93
2017-12-01,words,1567301,478706,42521
2018-01-01,docs,8675,2177,140
2018-01-01,words,2200462,730150,64200
2018-02-01,docs,8346,1811,112
2018-02-01,words,2089370,629167,51220
2018-03-01,docs,8829,2088,155
2018-03-01,words,2267538,726214,67719
2018-04-01,docs,7973,1825,138
2018-04-01,words,2040204,625730,56306
2018-05-01,docs,7690,1887,144
2018-05-01,words,2013515,662777,65941
2018-06-01,docs,8825,1985,182
2018-06-01,words,2257372,699048,77098
2018-07-01,docs,8585,2067,167
2018-07-01,words,2178729,705913,66103
2018-08-01,docs,8435,2179,185
2018-08-01,words,2192030,759835,76590
2018-09-01,docs,7815,1943,155
2018-09-01,words,2016393,670123,66334
2018-10-01,docs,8767,2273,190
2018-10-01,words,2268213,787224,84696
2018-11-01,docs,8454,2125,189
2018-11-01,words,2229485,740016,82506
2018-12-01,docs,5463,1217,96
2018-12-01,words,1310075,403508,40899
2019-01-01,docs,5341,1301,145
2019-01-01,words,1232457,413837,55543
2019-02-01,docs,5601,1341,127
2019-02-01,words,1364891,439835,53120
2019-03-01,docs,7027,1601,164
2019-03-01,words,1766086,552400,65898
2019-04-01,docs,6300,1594,119
2019-04-01,words,1615852,555086,55949
2019-05-01,docs,6566,1631,131
2019-05-01,words,1691361,578960,55201
2019-06-01,docs,6095,1507,126
2019-06-01,words,1556328,528043,50180
2019-07-01,docs,6923,1691,164
2019-07-01,words,1763948,582803,68899
2019-08-01,docs,6868,1781,171
2019-08-01,words,1760284,616390,69455
2019-09-01,docs,6294,1630,152
2019-09-01,words,1623117,580863,68999
2019-10-01,docs,6770,1732,149
2019-10-01,words,1726551,592682,63074
2019-11-01,docs,6569,1677,148
2019-11-01,words,1672859,591710,66481
2019-12-01,docs,6036,1495,115
2019-12-01,words,1528753,537114,49971
2020-01-01,docs,6584,1845,155
2020-01-01,words,1684766,642332,71762
2020-02-01,docs,6134,1615,161
2020-02-01,words,1604039,570425,71297
2020-03-01,docs,6416,2015,278
2020-03-01,words,1657996,692268,124773
2020-04-01,docs,5788,1902,203
2020-04-01,words,1470885,671709,93388
2020-05-01,docs,5750,1785,202
2020-05-01,words,1479174,635657,96436
2020-06-01,docs,5788,1799,181
2020-06-01,words,1522876,631227,79899
2020-07-01,docs,6626,1959,182
2020-07-01,words,1701048,668382,74692
2020-08-01,docs,6219,1769,150
2020-08-01,words,1615651,621522,65491
2020-09-01,docs,6241,1812,161
2020-09-01,words,1633689,617459,67007
2020-10-01,docs,6546,1898,190
2020-10-01,words,1742250,675534,88328
2020-11-01,docs,6036,1721,162
2020-11-01,words,1631017,605233,70703
2020-12-01,docs,5952,1641,120
2020-12-01,words,1591990,588765,54899
2021-01-01,docs,5406,1587,131
2021-01-01,words,1479842,568622,59752
2021-02-01,docs,5836,1674,113
2021-02-01,words,1581599,619690,54303
2021-03-01,docs,6724,1849,140
2021-03-01,words,1807467,670067,62365
2021-04-01,docs,6086,1601,103
2021-04-01,words,1626597,583658,45088
2021-05-01,docs,5733,1497,101
2021-05-01,words,1534811,551511,52878
2021-06-01,docs,6281,1630,105
2021-06-01,words,1704589,601835,52132
2021-07-01,docs,6551,1667,119
2021-07-01,words,1806822,618262,52574
2021-08-01,docs,6152,1486,131
2021-08-01,words,1671021,557821,58732
2021-09-01,docs,5719,1601,124
2021-09-01,words,1535245,592132,56434
2021-10-01,docs,5406,1447,91
2021-10-01,words,1461169,545745,43116
2021-11-01,docs,5439,1395,115
2021-11-01,words,1475596,528211,55286
2021-12-01,docs,5399,1409,125
2021-12-01,words,1458090,540225,63918
2022-01-01,docs,5286,1404,121
2022-01-01,words,1450422,535246,59242
2022-02-01,docs,5559,1422,115
2022-02-01,words,1520247,545842,57479
2022-03-01,docs,6011,1764,206
2022-03-01,words,1660782,657282,95952
2022-04-01,docs,5147,1398,154
2022-04-01,words,1397932,543541,74462
2022-05-01,docs,5367,1515,173
2022-05-01,words,1455168,556932,76923
2022-06-01,docs,5168,1448,148
2022-06-01,words,1408155,548379,71367
2022-07-01,docs,5394,1563,179
2022-07-01,words,1468477,594423,86815
2022-08-01,docs,5472,1542,176
2022-08-01,words,1489219,586509,83889
2022-09-01,docs,5167,1586,181
2022-09-01,words,1428995,609216,84116
2022-10-01,docs,5299,1528,154
2022-10-01,words,1471876,587469,69665
2022-11-01,docs,5148,1480,145
2022-11-01,words,1407781,551516,69785
2022-12-01,docs,5155,1385,148
2022-12-01,words,1408525,522961,70294
2023-01-01,docs,4954,1437,125
2023-01-01,words,1399104,542964,52538
2023-02-01,docs,4740,1345,113
2023-02-01,words,1360246,532090,56608
2023-03-01,docs,5308,1537,152
2023-03-01,words,1510469,590688,77166
2023-04-01,docs,4673,1259,96
2023-04-01,words,1317387,508192,47321
2023-05-01,docs,4794,1376,134
2023-05-01,words,1359971,526871,65728
2023-06-01,docs,4560,1144,107
2023-06-01,words,1283889,459801,56827
2023-07-01,docs,4966,1393,121
2023-07-01,words,1434905,553798,56485
2023-08-01,docs,5056,1494,140
2023-08-01,words,1426167,580307,58923
2023-09-01,docs,4973,1384,128
2023-09-01,words,1429097,542397,69159
2023-10-01,docs,5079,1331,138
2023-10-01,words,1469697,530503,76575
2023-11-01,docs,4903,1403,167
2023-11-01,words,1420343,547871,86984
2023-12-01,docs,4505,1266,126
2023-12-01,words,1302781,505545,61655
2024-01-01,docs,4858,1427,167
2024-01-01,words,1417493,560011,84953
2024-02-01,docs,4578,1319,135
2024-02-01,words,1345818,514270,66024
2024-03-01,docs,4919,1273,124
2024-03-01,words,1424759,527178,61981
2024-04-01,docs,4720,1355,135
2024-04-01,words,1378479,550360,58954
